,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16193,Wales,Rep. of Ireland,4,1,06 Sep 2018,"2018-19 UEFA Nations League, Group B4"
0,16192,Slovenia,Bulgaria,1,2,06 Sep 2018,"2018-19 UEFA Nations League, Group C3"
0,16191,Norway,Cyprus,2,0,06 Sep 2018,"2018-19 UEFA Nations League, Group C3"
0,16190,Latvia,Andorra,0,0,06 Sep 2018,"2018-19 UEFA Nations League, Group D1"
0,16189,Gibraltar,Macedonia,0,2,06 Sep 2018,"2018-19 UEFA Nations League, Group D4"
0,16188,Austria,Sweden,2,0,06 Sep 2018,Friendly International
0,16187,Portugal,Croatia,1,1,06 Sep 2018,Friendly International
0,16186,Netherlands,Peru,2,1,06 Sep 2018,Friendly International
0,16185,Czech Republic,Ukraine,1,2,06 Sep 2018,"2018-19 UEFA Nations League, Group B1"
0,16184,Armenia,Liechtenstein,2,1,06 Sep 2018,"2018-19 UEFA Nations League, Group D4"
0,16183,Kazakhstan,Georgia,0,2,06 Sep 2018,"2018-19 UEFA Nations League, Group D1"
0,16182,Slovakia,Denmark,3,0,05 Sep 2018,Friendly International
0,16181,U.A.E.,Andorra,0,0,18 Aug 2018,Friendly International
0,16180,Croatia,France,2,4,15 Jul 2018,2018 FIFA World Cup Final Tournament
0,16179,Belgium,England,2,0,14 Jul 2018,2018 FIFA World Cup Final Tournament
0,16178,Croatia,England,2,1,11 Jul 2018,2018 FIFA World Cup Final Tournament
0,16177,Belgium,France,0,1,10 Jul 2018,2018 FIFA World Cup Final Tournament
0,16176,Russia,Croatia,2,2,07 Jul 2018,2018 FIFA World Cup Final Tournament
0,16175,England,Sweden,2,0,07 Jul 2018,2018 FIFA World Cup Final Tournament
0,16174,Brazil,Belgium,1,2,06 Jul 2018,2018 FIFA World Cup Final Tournament
0,16173,Uruguay,France,0,2,06 Jul 2018,2018 FIFA World Cup Final Tournament
0,16172,Colombia,England,1,1,03 Jul 2018,2018 FIFA World Cup Final Tournament
0,16171,Sweden,Switzerland,1,0,03 Jul 2018,2018 FIFA World Cup Final Tournament
0,16170,Japan,Belgium,2,3,02 Jul 2018,2018 FIFA World Cup Final Tournament
0,16169,Croatia,Denmark,1,1,01 Jul 2018,2018 FIFA World Cup Final Tournament
0,16168,Russia,Spain,1,1,01 Jul 2018,2018 FIFA World Cup Final Tournament
0,16167,Uruguay,Portugal,2,1,30 Jun 2018,2018 FIFA World Cup Final Tournament
0,16166,Argentina,France,3,4,30 Jun 2018,2018 FIFA World Cup Final Tournament
0,16165,England,Belgium,0,1,28 Jun 2018,"2018 FIFA World Cup Final Tournament, Group G"
0,16164,Japan,Poland,0,1,28 Jun 2018,"2018 FIFA World Cup Final Tournament, Group H"
0,16163,Brazil,Serbia,2,0,27 Jun 2018,"2018 FIFA World Cup Final Tournament, Group E"
0,16162,Costa Rica,Switzerland,2,2,27 Jun 2018,"2018 FIFA World Cup Final Tournament, Group E"
0,16161,South Korea,Germany,2,0,27 Jun 2018,"2018 FIFA World Cup Final Tournament, Group F"
