"","match_id","team1","team2","team1goals","team2goals","team1rank","team2rank","team1points","team2points","diff_goal_abs","diff_goal_ratio","diff_rank","diff_point_abs","diff_point_ratio"
"170",16892,"Georgia","Sweden",0,1,40,13,1259,1569,-1,0,-27,-310,0.802421924792862
"171",16891,"Spain","Greece",1,1,5,28,1648,1418,0,1,23,230,1.16220028208745
"172",16891,"Greece","Spain",1,1,28,5,1418,1648,0,1,-23,-230,0.860436893203884
"173",16890,"Italy","Northern Ireland",2,0,6,27,1642,1425,2,Inf,21,217,1.15228070175439
"174",16890,"Northern Ireland","Italy",0,2,27,6,1425,1642,-2,0,-21,-217,0.867844092570037
"175",16889,"Scotland","Austria",2,2,25,15,1441,1523,0,1,-10,-82,0.946158896913986
"176",16889,"Austria","Scotland",2,2,15,25,1523,1441,0,1,10,82,1.05690492713393
"177",16888,"England","San Marino",5,0,3,55,1686,804,5,Inf,52,882,2.09701492537313
"178",16888,"San Marino","England",0,5,55,3,804,1686,-5,0,-52,-882,0.476868327402135
"179",16887,"Germany","Iceland",3,0,8,29,1609,1415,3,Inf,21,194,1.13710247349823
"180",16887,"Iceland","Germany",0,3,29,8,1415,1609,-3,0,-21,-194,0.879428216283406
"181",16886,"Moldova","Faroe Islands",1,1,52,44,948,1165,0,1,-8,-217,0.813733905579399
"182",16886,"Faroe Islands","Moldova",1,1,44,52,1165,948,0,1,8,217,1.2289029535865
"183",16885,"Andorra","Albania",0,1,50,35,1034,1362,-1,0,-15,-328,0.759177679882526
"184",16885,"Albania","Andorra",1,0,35,50,1362,1034,1,Inf,15,328,1.31721470019342
"185",16884,"Hungary","Poland",3,3,20,14,1468,1549,0,1,-6,-81,0.94770819883796
"186",16884,"Poland","Hungary",3,3,14,20,1549,1468,0,1,6,81,1.05517711171662
"187",16883,"Romania","North Macedonia",3,2,24,32,1449,1374,1,1.5,8,75,1.05458515283843
"188",16883,"North Macedonia","Romania",2,3,32,24,1374,1449,-1,0.666666666666667,-8,-75,0.94824016563147
"189",16882,"Liechtenstein","Armenia",0,1,53,39,911,1273,-1,0,-14,-362,0.715632364493323
"190",16882,"Armenia","Liechtenstein",1,0,39,53,1273,911,1,Inf,14,362,1.397365532382
"191",16881,"Bulgaria","Switzerland",1,3,36,9,1339,1606,-2,0.333333333333333,-27,-267,0.833748443337484
"192",16881,"Switzerland","Bulgaria",3,1,9,36,1606,1339,2,3,27,267,1.19940253920836
"193",16880,"Israel","Denmark",0,2,37,7,1283,1631,-2,0,-30,-348,0.786633966891478
"194",16880,"Denmark","Israel",2,0,7,37,1631,1283,2,Inf,30,348,1.27123928293063
"195",16879,"Gibraltar","Norway",0,3,54,23,880,1452,-3,0,-31,-572,0.606060606060606
"196",16879,"Norway","Gibraltar",3,0,23,54,1452,880,3,Inf,31,572,1.65
"197",16877,"Portugal","Azerbaijan",1,0,4,43,1666,1168,1,Inf,39,498,1.4263698630137
"198",16877,"Azerbaijan","Portugal",0,1,43,4,1168,1666,-1,0,-39,-498,0.701080432172869
"199",16876,"Latvia","Montenegro",1,2,49,34,1081,1368,-1,0.5,-15,-287,0.790204678362573
"200",16876,"Montenegro","Latvia",2,1,34,49,1368,1081,1,2,15,287,1.26549491211841
"201",16875,"France","Ukraine",1,1,2,16,1757,1514,0,1,14,243,1.16050198150594
"202",16875,"Ukraine","France",1,1,16,2,1514,1757,0,1,-14,-243,0.861696072851451
"203",16874,"Estonia","Czech Republic",2,6,45,22,1161,1458,-4,0.333333333333333,-23,-297,0.796296296296296
"204",16874,"Czech Republic","Estonia",6,2,22,45,1458,1161,4,3,23,297,1.25581395348837
"205",16872,"Belgium","Wales",3,1,1,12,1783,1570,2,3,11,213,1.13566878980892
"206",16872,"Wales","Belgium",1,3,12,1,1570,1783,-2,0.333333333333333,-11,-213,0.880538418395962
"207",16871,"Malta","Russia",1,3,51,21,955,1462,-2,0.333333333333333,-30,-507,0.653214774281806
"208",16871,"Russia","Malta",3,1,21,51,1462,955,2,3,30,507,1.53089005235602
"209",16870,"Cyprus","Slovakia",0,0,42,19,1240,1475,0,NA,-23,-235,0.840677966101695
"210",16870,"Slovakia","Cyprus",0,0,19,42,1475,1240,0,NA,23,235,1.18951612903226
"211",16869,"Slovenia","Croatia",1,0,33,10,1369,1605,1,Inf,-23,-236,0.852959501557632
"212",16869,"Croatia","Slovenia",0,1,10,33,1605,1369,-1,0,23,236,1.17238860482104
"213",16868,"Kosovo","Lithuania",4,0,46,48,1151,1102,4,Inf,2,49,1.04446460980036
"214",16868,"Lithuania","Kosovo",0,4,48,46,1102,1151,-4,0,-2,-49,0.95742832319722
"215",16865,"Turkey","Netherlands",4,2,18,11,1505,1598,2,2,-7,-93,0.94180225281602
"216",16865,"Netherlands","Turkey",2,4,11,18,1598,1505,-2,0.5,7,93,1.06179401993355
"217",16862,"Belgium","Denmark",4,2,1,7,1783,1631,2,2,6,152,1.09319435928878
"218",16862,"Denmark","Belgium",2,4,7,1,1631,1783,-2,0.5,-6,-152,0.914750420639372
"219",16861,"England","Iceland",4,0,3,29,1686,1415,4,Inf,26,271,1.19151943462898
"220",16861,"Iceland","England",0,4,29,3,1415,1686,-4,0,-26,-271,0.83926453143535
"221",16859,"Poland","Netherlands",1,2,14,11,1549,1598,-1,0.5,-3,-49,0.969336670838548
"222",16859,"Netherlands","Poland",2,1,11,14,1598,1549,1,2,3,49,1.03163331181407
"223",16858,"Austria","Norway",1,1,15,23,1523,1452,0,1,8,71,1.04889807162534
"224",16858,"Norway","Austria",1,1,23,15,1452,1523,0,1,-8,-71,0.953381483913329
"225",16857,"Northern Ireland","Romania",1,1,27,24,1425,1449,0,1,-3,-24,0.98343685300207
"226",16857,"Romania","Northern Ireland",1,1,24,27,1449,1425,0,1,3,24,1.01684210526316
"227",16856,"Czech Republic","Slovakia",2,0,22,19,1458,1475,2,Inf,-3,-17,0.988474576271186
"228",16856,"Slovakia","Czech Republic",0,2,19,22,1475,1458,-2,0,3,17,1.0116598079561
"229",16854,"Wales","Finland",3,1,12,30,1570,1410,2,3,18,160,1.11347517730496
"230",16854,"Finland","Wales",1,3,30,12,1410,1570,-2,0.333333333333333,-18,-160,0.898089171974522
"231",16853,"Greece","Slovenia",0,0,28,33,1418,1369,0,NA,5,49,1.03579254930606
"232",16853,"Slovenia","Greece",0,0,33,28,1369,1418,0,NA,-5,-49,0.965444287729196
"233",16852,"Kosovo","Moldova",1,0,46,52,1151,948,1,Inf,6,203,1.21413502109705
"234",16852,"Moldova","Kosovo",0,1,52,46,948,1151,-1,0,-6,-203,0.823631624674196
"235",16851,"Israel","Scotland",1,0,37,25,1283,1441,1,Inf,-12,-158,0.890353920888272
"236",16851,"Scotland","Israel",0,1,25,37,1441,1283,-1,0,12,158,1.12314886983632
"237",16850,"Hungary","Turkey",2,0,20,18,1468,1505,2,Inf,-2,-37,0.975415282392027
"238",16850,"Turkey","Hungary",0,2,18,20,1505,1468,-2,0,2,37,1.02520435967302
"239",16849,"Serbia","Russia",5,0,17,21,1512,1462,5,Inf,4,50,1.03419972640219
"240",16849,"Russia","Serbia",0,5,21,17,1462,1512,-5,0,-4,-50,0.966931216931217
"241",16848,"Armenia","North Macedonia",1,0,39,32,1273,1374,1,Inf,-7,-101,0.926491994177584
"242",16848,"North Macedonia","Armenia",0,1,32,39,1374,1273,-1,0,7,101,1.07934014139827
"243",16847,"Georgia","Estonia",0,0,40,45,1259,1161,0,NA,5,98,1.08440999138674
"244",16847,"Estonia","Georgia",0,0,45,40,1161,1259,0,NA,-5,-98,0.922160444797458
"245",16846,"Albania","Belarus",3,2,35,38,1362,1276,1,1.5,3,86,1.06739811912226
"246",16846,"Belarus","Albania",2,3,38,35,1276,1362,-1,0.666666666666667,-3,-86,0.936857562408223
"247",16845,"Kazakhstan","Lithuania",1,2,47,48,1147,1102,-1,0.5,1,45,1.04083484573503
"248",16845,"Lithuania","Kazakhstan",2,1,48,47,1102,1147,1,2,-1,-45,0.960767218831735
"249",16844,"Malta","Faroe Islands",1,1,51,44,955,1165,0,1,-7,-210,0.819742489270386
"250",16844,"Faroe Islands","Malta",1,1,44,51,1165,955,0,1,7,210,1.21989528795812
"251",16843,"Andorra","Latvia",0,5,50,49,1034,1081,-5,0,-1,-47,0.956521739130435
"252",16843,"Latvia","Andorra",5,0,49,50,1081,1034,5,Inf,1,47,1.04545454545455
"253",16842,"Croatia","Portugal",2,3,10,4,1605,1666,-1,0.666666666666667,-6,-61,0.963385354141657
"254",16842,"Portugal","Croatia",3,2,4,10,1666,1605,1,1.5,6,61,1.03800623052959
"255",16841,"France","Sweden",4,2,2,13,1757,1569,2,2,11,188,1.11982154238368
"256",16841,"Sweden","France",2,4,13,2,1569,1757,-2,0.5,-11,-188,0.892999430848036
"257",16840,"Luxembourg","Azerbaijan",0,0,41,43,1244,1168,0,NA,2,76,1.06506849315068
"258",16840,"Azerbaijan","Luxembourg",0,0,43,41,1168,1244,0,NA,-2,-76,0.938906752411576
"259",16839,"Montenegro","Cyprus",4,0,34,42,1368,1240,4,Inf,8,128,1.10322580645161
"260",16839,"Cyprus","Montenegro",0,4,42,34,1240,1368,-4,0,-8,-128,0.906432748538012
"261",16838,"Spain","Germany",6,0,5,8,1648,1609,6,Inf,3,39,1.02423865755127
"262",16838,"Germany","Spain",0,6,8,5,1609,1648,-6,0,-3,-39,0.976334951456311
"263",16837,"Gibraltar","Liechtenstein",1,1,54,53,880,911,0,1,-1,-31,0.965971459934138
"264",16837,"Liechtenstein","Gibraltar",1,1,53,54,911,880,0,1,1,31,1.03522727272727
"265",16836,"Belgium","England",2,0,1,3,1783,1686,2,Inf,2,97,1.05753262158956
"266",16836,"England","Belgium",0,2,3,1,1686,1783,-2,0,-2,-97,0.94559730790802
"267",16835,"Denmark","Iceland",2,1,7,29,1631,1415,1,2,22,216,1.15265017667845
"268",16835,"Iceland","Denmark",1,2,29,7,1415,1631,-1,0.5,-22,-216,0.867565910484365
"269",16834,"Moldova","Greece",0,2,52,28,948,1418,-2,0,-24,-470,0.668547249647391
"270",16834,"Greece","Moldova",2,0,28,52,1418,948,2,Inf,24,470,1.4957805907173
"271",16833,"Slovenia","Kosovo",2,1,33,46,1369,1151,1,2,13,218,1.18940052128584
"272",16833,"Kosovo","Slovenia",1,2,46,33,1151,1369,-1,0.5,-13,-218,0.840759678597516
"273",16832,"Czech Republic","Israel",1,0,22,37,1458,1283,1,Inf,15,175,1.13639906469213
"274",16832,"Israel","Czech Republic",0,1,37,22,1283,1458,-1,0,-15,-175,0.87997256515775
