,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16852,Kosovo,Moldova,1,0,18 Nov 2020,"2020-21 UEFA Nations League, Group C3"
0,16851,Israel,Scotland,1,0,18 Nov 2020,"2020-21 UEFA Nations League, Group B2"
0,16850,Hungary,Turkey,2,0,18 Nov 2020,"2020-21 UEFA Nations League, Group B3"
0,16849,Serbia,Russia,5,0,18 Nov 2020,"2020-21 UEFA Nations League, Group B3"
0,16848,Armenia,North Macedonia,1,0,18 Nov 2020,"2020-21 UEFA Nations League, Group C2"
0,16847,Georgia,Estonia,0,0,18 Nov 2020,"2020-21 UEFA Nations League, Group C2"
0,16846,Albania,Belarus,3,2,18 Nov 2020,"2020-21 UEFA Nations League, Group C4"
0,16845,Kazakhstan,Lithuania,1,2,18 Nov 2020,"2020-21 UEFA Nations League, Group C4"
0,16844,Malta,Faroe Islands,1,1,17 Nov 2020,"2020-21 UEFA Nations League, Group D1"
0,16843,Andorra,Latvia,0,5,17 Nov 2020,"2020-21 UEFA Nations League, Group D1"
0,16842,Croatia,Portugal,2,3,17 Nov 2020,"2020-21 UEFA Nations League, Group A3"
0,16841,France,Sweden,4,2,17 Nov 2020,"2020-21 UEFA Nations League, Group A3"
0,16840,Luxembourg,Azerbaijan,0,0,17 Nov 2020,"2020-21 UEFA Nations League, Group C1"
0,16839,Montenegro,Cyprus,4,0,17 Nov 2020,"2020-21 UEFA Nations League, Group C1"
0,16838,Spain,Germany,6,0,17 Nov 2020,"2020-21 UEFA Nations League, Group A4"
0,16837,Gibraltar,Liechtenstein,1,1,17 Nov 2020,"2020-21 UEFA Nations League, Group D2"
0,16836,Belgium,England,2,0,15 Nov 2020,"2020-21 UEFA Nations League, Group A2"
0,16835,Denmark,Iceland,2,1,15 Nov 2020,"2020-21 UEFA Nations League, Group A2"
0,16834,Moldova,Greece,0,2,15 Nov 2020,"2020-21 UEFA Nations League, Group C3"
0,16833,Slovenia,Kosovo,2,1,15 Nov 2020,"2020-21 UEFA Nations League, Group C3"
0,16832,Czech Republic,Israel,1,0,15 Nov 2020,"2020-21 UEFA Nations League, Group B2"
0,16831,Italy,Poland,2,0,15 Nov 2020,"2020-21 UEFA Nations League, Group A1"
0,16830,Austria,Northern Ireland,2,1,15 Nov 2020,"2020-21 UEFA Nations League, Group B1"
0,16829,Hungary,Serbia,1,1,15 Nov 2020,"2020-21 UEFA Nations League, Group B3"
0,16828,Belarus,Lithuania,2,0,15 Nov 2020,"2020-21 UEFA Nations League, Group C4"
0,16827,Albania,Kazakhstan,3,1,15 Nov 2020,"2020-21 UEFA Nations League, Group C4"
0,16826,Georgia,Armenia,1,2,15 Nov 2020,"2020-21 UEFA Nations League, Group C2"
0,16825,Bulgaria,Finland,1,2,15 Nov 2020,"2020-21 UEFA Nations League, Group B4"
0,16824,Wales,Rep. of Ireland,1,0,15 Nov 2020,"2020-21 UEFA Nations League, Group B4"
0,16823,Turkey,Russia,3,2,15 Nov 2020,"2020-21 UEFA Nations League, Group B3"
0,16822,Netherlands,Bosnia & Herzegovina,3,1,15 Nov 2020,"2020-21 UEFA Nations League, Group A1"
0,16821,North Macedonia,Estonia,2,1,15 Nov 2020,"2020-21 UEFA Nations League, Group C2"
0,16820,Slovakia,Scotland,1,0,15 Nov 2020,"2020-21 UEFA Nations League, Group B2"
0,16819,Portugal,France,0,1,14 Nov 2020,"2020-21 UEFA Nations League, Group A3"
0,16818,Sweden,Croatia,2,1,14 Nov 2020,"2020-21 UEFA Nations League, Group A3"
0,16817,Germany,Ukraine,3,1,14 Nov 2020,"2020-21 UEFA Nations League, Group A4"
0,16816,Switzerland,Spain,1,1,14 Nov 2020,"2020-21 UEFA Nations League, Group A4"
0,16815,Latvia,Faroe Islands,1,1,14 Nov 2020,"2020-21 UEFA Nations League, Group D1"
0,16814,Azerbaijan,Montenegro,0,0,14 Nov 2020,"2020-21 UEFA Nations League, Group C1"
